,BTC-USD,ETH-USD,DOGE-USD,ADA-USD,SOL-USD,SHIB-USD,XRP-USD
29/10/2021,0,1,0,1,0,0,1
30/10/2021,0,1,0,1,1,0,1
31/10/2021,0,1,0,1,1,0,1
1/11/2021,0,0,0,1,1,0,1
2/11/2021,1,1,0,1,0,1,1
3/11/2021,0,1,0,1,1,0,1
4/11/2021,0,1,1,1,0,1,1
5/11/2021,0,0,0,1,0,1,1
6/11/2021,0,1,0,1,0,0,1
7/11/2021,0,1,0,1,0,0,1
8/11/2021,1,1,0,1,1,1,1
11/11/2021,1,1,0,1,0,0,1
12/11/2021,1,1,0,1,0,0,1
13/11/2021,1,1,0,1,0,1,1
14/11/2021,1,1,0,1,0,0,1
15/11/2021,1,1,0,1,0,0,1
16/11/2021,0,0,0,1,0,0,0
17/11/2021,0,0,0,1,0,0,0
18/11/2021,0,0,0,1,0,0,0
19/11/2021,1,0,0,1,0,0,0
20/11/2021,0,1,0,1,0,0,0
21/11/2021,0,1,0,1,0,0,0
22/11/2021,0,0,0,0,0,0,0
24/11/2021,1,0,0,0,0,0,0
25/11/2021,0,1,0,0,0,0,0
26/11/2021,0,0,0,0,0,0,0
27/11/2021,0,0,0,0,0,0,0
28/11/2021,1,0,0,0,0,0,1
29/11/2021,0,1,0,0,0,0,1
30/11/2021,0,1,0,0,0,0,1
1/12/2021,0,0,0,0,0,0,0
2/12/2021,0,0,0,0,0,0,1
3/12/2021,0,0,0,0,0,0,1
4/12/2021,0,0,0,0,0,0,1
5/12/2021,0,0,0,0,0,0,1
6/12/2021,0,0,0,0,0,0,1
8/12/2021,1,1,0,0,0,0,1
9/12/2021,0,0,0,0,0,0,1
10/12/2021,0,0,0,0,0,0,0
11/12/2021,1,0,0,0,0,0,1
12/12/2021,0,1,0,0,0,0,1
13/12/2021,0,0,0,0,0,0,1
14/12/2021,0,0,0,0,0,0,1
15/12/2021,0,0,0,0,0,0,0
16/12/2021,0,0,0,0,0,0,0
18/12/2021,1,0,0,0,1,0,0
19/12/2021,0,0,0,0,0,0,0
20/12/2021,0,0,0,0,1,0,0
21/12/2021,1,0,0,0,0,0,0
22/12/2021,0,0,0,0,0,0,0
23/12/2021,0,0,0,0,1,0,0
24/12/2021,0,1,0,0,0,0,1
25/12/2021,1,1,0,0,1,0,1
26/12/2021,1,1,0,0,1,0,1
27/12/2021,1,1,0,0,1,0,1
28/12/2021,1,0,0,0,1,0,0
29/12/2021,0,0,0,0,0,0,0
30/12/2021,0,1,0,0,0,0,0
31/12/2021,0,0,0,0,0,0,0
1/1/2022,0,0,0,0,0,0,0
2/1/2022,0,0,0,0,0,0,0
3/1/2022,1,0,0,0,0,0,0
4/1/2022,0,0,0,0,0,0,0
5/1/2022,0,0,0,0,0,0,1
6/1/2022,0,0,0,0,0,0,0
7/1/2022,1,0,0,0,0,0,0
9/1/2022,0,0,0,0,0,0,0
10/1/2022,0,0,0,0,0,0,0
11/1/2022,0,0,0,0,0,0,0
12/1/2022,0,1,0,0,1,0,0
13/1/2022,0,0,0,0,1,0,0
14/1/2022,1,1,0,0,1,0,1
15/1/2022,1,1,0,0,1,0,1
16/1/2022,0,1,0,0,1,0,1
17/1/2022,0,1,1,0,1,0,1
18/1/2022,0,1,1,0,1,0,0
19/1/2022,0,0,1,0,1,0,1
21/1/2022,1,0,0,0,1,0,0
22/1/2022,0,0,0,0,1,0,0
24/1/2022,1,0,0,0,1,0,0
25/1/2022,0,0,0,0,0,0,0
26/1/2022,1,0,0,0,0,0,0
27/1/2022,0,0,0,0,0,0,0
28/1/2022,0,0,0,0,0,0,0
29/1/2022,0,0,0,0,0,0,1
30/1/2022,0,0,0,0,0,0,1
31/1/2022,1,0,0,0,0,0,1
1/2/2022,0,1,0,0,0,0,1
2/2/2022,1,1,1,0,0,0,1
3/2/2022,1,1,0,0,0,0,1
4/2/2022,0,1,0,0,0,0,1
5/2/2022,0,1,1,0,1,0,1
6/2/2022,0,1,0,0,1,0,1
7/2/2022,1,1,1,0,1,0,1
8/2/2022,0,1,1,0,1,0,1
9/2/2022,0,1,0,0,1,0,1
10/2/2022,0,1,1,0,1,0,1
11/2/2022,0,1,1,0,0,0,0
12/2/2022,0,1,0,0,0,0,1
13/2/2022,0,1,0,0,0,0,1
14/2/2022,0,1,1,0,1,0,0
15/2/2022,0,1,0,0,0,0,1
16/2/2022,0,1,1,0,0,0,1
17/2/2022,0,1,0,0,0,0,0
18/2/2022,0,1,0,0,0,0,1
19/2/2022,0,1,0,0,0,0,0
20/2/2022,1,1,0,0,0,0,1
21/2/2022,0,0,0,0,0,0,1
22/2/2022,1,0,0,0,0,0,1
23/2/2022,0,0,0,0,0,0,0
24/2/2022,0,0,0,0,0,0,0
25/2/2022,1,0,0,0,0,0,0
26/2/2022,0,0,0,0,0,0,0
27/2/2022,0,0,0,0,0,0,0
28/2/2022,0,0,0,0,0,0,0
1/3/2022,1,0,0,0,1,0,1
3/3/2022,0,0,0,0,0,0,1
4/3/2022,1,0,0,0,0,0,0
5/3/2022,0,0,0,0,0,0,0
6/3/2022,0,1,0,0,0,0,0
7/3/2022,0,0,0,0,0,0,0
8/3/2022,0,0,0,0,0,0,0
9/3/2022,0,0,0,0,0,0,0
10/3/2022,0,0,0,0,0,0,0
11/3/2022,0,0,0,0,0,0,0
12/3/2022,0,0,0,0,0,0,0
13/3/2022,0,0,0,0,0,0,0
14/3/2022,0,1,0,0,0,0,1
15/3/2022,1,0,0,0,0,0,0
16/3/2022,1,0,0,0,0,0,0
17/3/2022,0,1,0,0,0,0,1
18/3/2022,0,0,0,0,0,0,0
19/3/2022,0,0,0,0,0,0,0
20/3/2022,1,0,0,0,0,0,0
21/3/2022,0,1,0,0,0,0,0
22/3/2022,1,0,0,0,0,0,0
23/3/2022,0,1,0,0,0,0,1
24/3/2022,0,1,0,0,1,0,1
25/3/2022,0,1,0,0,0,0,1
26/3/2022,0,1,0,0,0,0,1
27/3/2022,0,1,1,0,0,0,1
28/3/2022,0,1,0,0,0,0,1
29/3/2022,0,1,1,0,0,0,1
30/3/2022,0,1,0,0,1,0,1
31/3/2022,1,1,0,0,0,0,1
1/4/2022,1,1,0,0,0,0,1
